[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 8.02
[File, System, Image] FileName - File Name: Jpeg2000.jp2
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 619 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2005:11:14 14:47:21-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: JP2
[File, File, Image] MIMEType - MIME Type: image/jp2
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[Jpeg2000, Jpeg2000, Video] 0 - Major Brand: JPEG 2000 Image (.JP2)
[Jpeg2000, Jpeg2000, Video] 1 - Minor Version: 0.0.0
[Jpeg2000, Jpeg2000, Video] 2 - Compatible Brands: jp2 
[Jpeg2000, Jpeg2000, Image] 0 - Image Height: 16
[Jpeg2000, Jpeg2000, Image] 4 - Image Width: 16
[Jpeg2000, Jpeg2000, Image] 8 - Number Of Components: 3
[Jpeg2000, Jpeg2000, Image] 10 - Bits Per Component: 8 Bits, Unsigned
[Jpeg2000, Jpeg2000, Image] 11 - Compression: JPEG 2000
[Jpeg2000, Jpeg2000, Image] colr - Colorspace: sRGB
[EXIF, IFD0, Image] 256 - Image Width: 1
[EXIF, IFD0, Image] 257 - Image Height: 1
[EXIF, IFD0, Image] 258 - Bits Per Sample: 8
[EXIF, IFD0, Image] 259 - Compression: Uncompressed
[EXIF, IFD0, Image] 273 - Strip Offsets: 101
[EXIF, IFD0, Image] 277 - Samples Per Pixel: 1
[EXIF, IFD0, Image] 279 - Strip Byte Counts: 0
[EXIF, IFD0, Image] 284 - Planar Configuration: Chunky
[EXIF, IFD0, Image] 33550 - Pixel Scale: 1 1 0
[EXIF, IFD0, Location] 33922 - Model Tie Point: 0 0 0 334159.28 4429865.18 0
[GeoTiff, GeoTiff, Location] 1 - Geo Tiff Version: 1.1.0
[GeoTiff, GeoTiff, Location] 1024 - GT Model Type: Projected
[GeoTiff, GeoTiff, Location] 1025 - GT Raster Type: Pixel Is Area
[GeoTiff, GeoTiff, Location] 1026 - GT Citation: NAD83 / UTM zone 18N
[GeoTiff, GeoTiff, Location] 3072 - Projected CS Type: NAD83 UTM zone 18N
[GeoTiff, GeoTiff, Location] 3076 - Proj Linear Units: Linear Meter
[Composite, Composite, Image] ImageSize - Image Size: 16x16
