[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 8.24
[File, System, Image] FileName - File Name: RTF.rtf
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 990 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2010:06:19 20:20:37-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: RTF
[File, File, Image] MIMEType - MIME Type: text/rtf
[RTF, RTF, Document] title - Title: ExifTool RTF test (with spécîål çhars)
[RTF, RTF, Time] revtim - Modify Date: 2010:06:19 20:00:00
[RTF, RTF, Document] subject - Subject: a “subject” in funny quotes
[RTF, RTF, Document] doccomm - Comments: ストロボ.フラッシュ未発光、強制発光モード(end);another line
[RTF, RTF, Author] author - Author: an author {with braces}
[RTF, RTF, Document] company - Company:  a company \with backslashes and leading space\
[RTF, RTF, Author] copyright - Copyright: © 2010 Phil Harvey
[RTF, RTF, Document] keywords - Keywords: keyword1, keyword2
[RTF, RTF, Document] CustomString - Custom String: ABCDEF
[RTF, RTF, Document] CustomNumber - Custom Number: 123456
